tweet_id,author_id,text_customer,created_at,in_response_to_tweet_id,text_brand,intent,escalate,escalate_reason
523825,249088,@241073 @AppleSupport I have that problem too. Please help,Sat Dec 02 07:11:16 +0000 2017,523825.0,@249088 We're happy to help! Please check out the following article: https://t.co/osZOKKTalm If you need to update the iOS be sure to create a backup before beginning. DM us if you have additional questions. https://t.co/GDrqU22YpT,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
2002212,592044,@applesupport. hi. word on the street is i can inquire about my phone's battery life here. seems to be dying ...,Fri Nov 03 17:32:50 +0000 2017,2002212.0,@592044 We can help. Follow these steps and DM us what iPhone and version of iOS you are using if issues persist: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
1134140,387234,@AppleSupport i can't reset my password for my apple id please help,Tue Oct 24 04:50:00 +0000 2017,1134140.0,@387234 We'd like to help. Have you tried resetting the Apple ID through our website? Check out this article: https://t.co/ZTde7mzxXQ,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
669244,279599,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.,Thu Nov 30 19:49:40 +0000 2017,669244.0,@279599 We'd love to help. Which device are you experiencing this issue on? Which version of software is being used on that device?,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
2743029,765475,@AppleSupport No. She doesn’t have a twitter account and she’s in her mid-80s. Easier via me. What’s the issue do you think?,Mon Nov 20 18:40:55 +0000 2017,2743029.0,@765475 Let's continue over DM. https://t.co/GDrqU22YpT,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
1375800,440258,"@AppleSupport Yep,  it was there. I fix it by restoring from a backup and running update again.",Tue Oct 17 19:55:10 +0000 2017,1375800.0,@440258 Thank you for the update. We're glad to hear it's working properly now.  Contact us again if you need further assistance.,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
966331,349333,Is anyone have a problem updating to #iOS 11.0.3 🤔 @349334 @AppleSupport https://t.co/JgJwCx8mQp,Sat Oct 21 21:58:40 +0000 2017,966331.0,@349333 This article on over-the-air updates may help: https://t.co/Ui1yTnOCUz,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
2122589,625313,@AppleSupport fix the auto correct bugs and the I️ bug. You know what I’m talking about!,Wed Nov 08 09:49:57 +0000 2017,2122589.0,@625313 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
932778,341263,@115858 this iOS 11 update has trashed my brand new iphone. This is ridiculous.,Tue Oct 10 23:29:21 +0000 2017,932778.0,@341263 We'd like to work with you. What seems to be going on with your iPhone?,general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
2301986,668062,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,Sun Nov 12 14:53:42 +0000 2017,2301986.0,"@668062 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",general_inquiry,True,"Error parsing: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use models/gemini-3.6-flash for the latest features and improvements. We recommend you to use the Interactions API.', 'status': 'NOT_FOUND'}}"
